Car.PitchAcc,Car.PitchVel,Car.RollAcc,Car.RollVel,Car.YawAcc,Car.YawVel,Car.ax,Car.ay,Car.az,Car.v,Car.vx,Car.vy,Car.vz,Time
rad/s^2,rad/s,rad/s^2,rad/s,rad/s^2,rad/s,m/s^2,m/s^2,m/s^2,m/s,m/s,m/s,m/s,s
-6.92E-07,3.43E-08,2.80E-09,6.92E-12,7.43E-10,-4.79E-11,-7.92E-07,-1.74E-09,1.44E-06,1.44E-07,1.38E-07,7.35E-11,-4.27E-08,1.111
-1.31E-06,2.44E-08,2.33E-09,3.21E-11,1.16E-09,-3.73E-11,-7.62E-08,-1.60E-09,7.29E-07,1.36E-07,1.33E-07,5.71E-11,-2.96E-08,1.121
-8.83E-07,1.54E-08,2.16E-09,5.40E-11,1.11E-09,-2.60E-11,-5.67E-07,-1.43E-09,1.60E-06,1.30E-07,1.29E-07,4.17E-11,-1.69E-08,1.131
-5.69E-07,7.30E-09,2.10E-09,7.55E-11,1.01E-09,-1.54E-11,-7.21E-07,-1.27E-09,1.36E-06,1.24E-07,1.24E-07,2.82E-11,-4.73E-09,1.141
-1.06E-06,-1.22E-09,-2.21E-08,1.48E-10,-2.94E-08,1.43E-10,-2.31E-07,-5.10E-08,1.13E-06,1.20E-07,1.20E-07,1.87E-11,6.99E-09,1.151
-5.54E-07,-8.27E-09,2.18E-09,1.10E-10,-5.00E-09,1.61E-11,-6.05E-07,-7.52E-10,1.33E-06,1.18E-07,1.16E-07,8.47E-12,1.80E-08,1.161
-9.72E-07,-1.51E-08,1.32E-09,1.29E-10,-4.84E-10,-3.21E-12,-5.42E-09,-1.04E-09,4.41E-07,1.16E-07,1.13E-07,-7.95E-13,2.81E-08,1.171
-3.07E-07,-2.08E-08,4.41E-10,1.36E-10,4.06E-10,-2.00E-12,-6.24E-07,-9.91E-10,1.10E-06,1.16E-07,1.10E-07,-1.04E-11,3.73E-08,1.181
-1.46E-07,-2.72E-08,9.09E-11,1.38E-10,5.31E-10,2.92E-12,-5.95E-07,-8.90E-10,9.71E-07,1.18E-07,1.09E-07,-1.97E-11,4.55E-08,1.191
-3.78E-07,-3.20E-08,-6.15E-11,1.38E-10,4.61E-10,7.88E-12,-3.90E-07,-7.64E-10,1.11E-06,1.18E-07,1.06E-07,-2.80E-11,5.29E-08,1.201
-4.88E-07,-3.62E-08,-1.47E-10,1.37E-10,3.51E-10,1.19E-11,-2.57E-07,-6.35E-10,1.17E-06,1.19E-07,1.04E-07,-3.50E-11,5.93E-08,1.211
-6.72E-07,-3.94E-08,-2.20E-10,1.35E-10,2.41E-10,1.48E-11,-1.28E-07,-5.15E-10,1.27E-06,1.21E-07,1.02E-07,-4.07E-11,6.48E-08,1.221
-6.02E-07,-4.24E-08,-2.94E-10,1.33E-10,1.49E-10,1.68E-11,-9.69E-08,-4.09E-10,1.19E-06,1.22E-07,1.00E-07,-4.54E-11,6.95E-08,1.231
-2.94E-08,-4.31E-08,-3.70E-10,1.30E-10,8.63E-11,1.80E-11,-4.65E-07,-3.16E-10,7.01E-07,1.23E-07,9.82E-08,-4.90E-11,7.33E-08,1.241
1.11E-07,-4.52E-08,-4.52E-10,1.25E-10,2.62E-11,1.84E-11,-4.56E-07,-2.33E-10,5.74E-07,1.24E-07,9.74E-08,-5.18E-11,7.63E-08,1.251
1.72E-07,-4.64E-08,-5.32E-10,1.20E-10,-2.16E-11,1.84E-11,-4.53E-07,-1.59E-10,4.97E-07,1.24E-07,9.65E-08,-5.37E-11,7.86E-08,1.261
3.05E-07,-4.72E-08,-6.03E-10,1.15E-10,-5.85E-11,1.79E-11,-4.90E-07,-9.12E-11,3.68E-07,1.25E-07,9.61E-08,-5.49E-11,8.01E-08,1.271
-6.39E-07,-4.91E-08,-3.63E-10,1.09E-10,-8.92E-11,1.71E-11,9.86E-07,-1.06E-11,-1.48E-06,1.24E-07,9.50E-08,-5.56E-11,8.04E-08,1.281
-5.94E-07,-4.95E-08,-5.03E-10,1.06E-10,-1.18E-10,1.61E-11,4.29E-07,-9.49E-11,-1.42E-07,1.25E-07,9.53E-08,-5.58E-11,8.03E-08,1.291
